id;obj_name;obj_type;parent_id;tag
1;client-server Hat Soft;impactful Som;56023;portal auxiliary
2;help-desk regional Awesome;compressing;48098;New Taiwan Dollar Lead
3;synthesizing Functionality;olive Cross-group;97709;Investment Account SSL
4;workforce;Savings Account transmit Drive;75070;Books Clothing
5;Libyan Arab Jamahiriya Regional models;Saint Lucia;92348;Auto Loan Account Intranet
6;RSS primary;tertiary;91595;Operations compress Corporate
7;solid state Jewelery;Colombian Peso Unidad de Valor Real sky blue;47529;Holy See (Vatican City State)
8;Industrial Self-enabling Minnesota;Fantastic Metal Sausages Analyst;52489;Sausages withdrawal Small
9;Sports uniform ivory;Wooden;56352;protocol
10;Shirt;Representative clicks-and-mortar;87196;Prairie
