id;media_id;page_number;iterator_level;rect_top;rect_left;rect_right;rect_bottom;parent_id
1;13139;66994;Pants archive array;46885;11093;64051;16504;24665
2;71111;82793;bus;56671;10593;11388;20896;92294
3;94967;76998;Phased;55872;67466;63142;769;71602
4;39752;29523;productize Bedfordshire;18603;5007;31385;66672;41896
5;87643;25460;Latvia collaborative programming;96191;923;93426;94838;76347
6;19393;75992;Chief;2904;97693;16284;56312;87793
7;25639;85459;Paradigm;22198;38347;34931;52861;2421
8;64585;31078;Gorgeous Louisiana haptic;52313;37797;48824;57873;95478
9;23725;86642;Trace;40685;57584;29415;3825;89985
10;50650;22362;Optimization lime;14045;39709;39556;15110;15500
