id;s_word;n_top;n_left;n_heigth;n_width;n_idx;media_id;page_number;version
1;Maryland;80589;2128;36614;71668;32519;57202;34229;2022-07-03T08:51:09
2;digital Burg;26798;21820;41535;76990;89120;91761;71778;2022-07-04T03:18:03
3;bluetooth Future;52130;61197;72393;90754;62536;91774;50595;2022-07-03T13:55:39
4;Rwanda bottom-line;20597;95171;22880;39277;96702;48483;79254;2022-07-03T14:32:38
5;Licensed Valleys scale;75054;85595;30475;10549;6922;98809;74598;2022-07-03T09:16:25
6;infrastructures Kentucky;57687;8130;667;30321;68942;97687;12816;2022-07-03T18:25:06
7;Account input;46163;43485;53940;58132;8389;22270;96122;2022-07-03T17:59:44
8;Pakistan;22415;95304;12198;76994;23827;79711;18519;2022-07-04T05:42:55
9;Proactive;8576;86305;49972;8945;77597;34744;88649;2022-07-04T05:23:13
10;Administrator Handmade;92540;11451;46714;704;18117;95997;19199;2022-07-04T04:42:27
